福建电信,#genre#
福建综合,http://27.152.49.106:1025/udp/239.61.3.4:9542
东南卫视,http://27.152.49.106:1025/udp/239.61.2.132:8708
福建公共频道,http://27.152.49.106:1025/udp/239.61.2.3:8012
福建新闻,http://27.152.49.106:1025/udp/239.61.2.4:8018
福建电视剧,http://27.152.49.106:1025/udp/239.61.2.5:8024
福建旅游,http://27.152.49.106:1025/udp/239.61.2.6:8030
福建经济生活,http://27.152.49.106:1025/udp/239.61.2.7:8036
福建体育,http://27.152.49.106:1025/udp/239.61.2.160:8948
福建少儿,http://27.152.49.106:1025/udp/239.61.2.9:8048
海峡卫视,http://27.152.49.106:1025/udp/239.61.2.151:8894
福建教育频道,http://27.152.49.106:1025/udp/239.61.2.173:9026
厦门1套,http://27.152.49.106:1025/udp/239.61.3.55:9848
厦门2套,http://27.152.49.106:1025/udp/239.61.3.56:9854

福建综合,http://27.154.88.75:8888/udp/239.61.3.4:9542
东南卫视,http://27.154.88.75:8888/udp/239.61.2.132:8708
福建公共频道,http://27.154.88.75:8888/udp/239.61.2.3:8012
福建新闻,http://27.154.88.75:8888/udp/239.61.2.4:8018
福建电视剧,http://27.154.88.75:8888/udp/239.61.2.5:8024
福建旅游,http://27.154.88.75:8888/udp/239.61.2.6:8030
福建经济生活,http://27.154.88.75:8888/udp/239.61.2.7:8036
福建体育,http://27.154.88.75:8888/udp/239.61.2.160:8948
福建少儿,http://27.154.88.75:8888/udp/239.61.2.9:8048
海峡卫视,http://27.154.88.75:8888/udp/239.61.2.151:8894
福建教育频道,http://27.154.88.75:8888/udp/239.61.2.173:9026
厦门1套,http://27.154.88.75:8888/udp/239.61.3.55:9848
厦门2套,http://27.154.88.75:8888/udp/239.61.3.56:9854

福建综合,http://110.87.13.133:5550/udp/239.61.3.4:9542
东南卫视,http://110.87.13.133:5550/udp/239.61.2.132:8708
福建公共频道,http://110.87.13.133:5550/udp/239.61.2.3:8012
福建新闻,http://110.87.13.133:5550/udp/239.61.2.4:8018
福建电视剧,http://110.87.13.133:5550/udp/239.61.2.5:8024
福建旅游,http://110.87.13.133:5550/udp/239.61.2.6:8030
福建经济生活,http://110.87.13.133:5550/udp/239.61.2.7:8036
福建体育,http://110.87.13.133:5550/udp/239.61.2.160:8948
福建少儿,http://110.87.13.133:5550/udp/239.61.2.9:8048
海峡卫视,http://110.87.13.133:5550/udp/239.61.2.151:8894
福建教育频道,http://110.87.13.133:5550/udp/239.61.2.173:9026
厦门1套,http://110.87.13.133:5550/udp/239.61.3.55:9848
厦门2套,http://110.87.13.133:5550/udp/239.61.3.56:9854

