江苏电信,#genre#
江苏卫视,http://222.191.164.87:4000/udp/239.49.0.16:8120
江苏城市,http://222.191.164.87:4000/udp/239.49.0.17:8128
江苏综艺,http://222.191.164.87:4000/udp/239.49.0.18:8136
江苏体育休闲,http://222.191.164.87:4000/udp/239.49.0.19:8144
江苏影视,http://222.191.164.87:4000/udp/239.49.0.20:8152
优漫卡通,http://222.191.164.87:4000/udp/239.49.0.21:8160
江苏新闻,http://222.191.164.87:4000/udp/239.49.0.149:9186
江苏国际,http://222.191.164.87:4000/udp/239.49.0.22:8168
江苏教育,http://222.191.164.87:4000/udp/239.49.0.23:8176
财富天下,http://222.191.164.87:4000/udp/239.49.0.166:9322
江苏卫视HD,http://222.191.164.87:4000/udp/239.49.8.16:9602
江苏城市HD,http://222.191.164.87:4000/udp/239.49.8.107:8000
江苏综艺HD,http://222.191.164.87:4000/udp/239.49.8.108:8000
江苏体育休闲HD,http://222.191.164.87:4000/udp/239.49.8.117:8000
江苏影视HD,http://222.191.164.87:4000/udp/239.49.8.118:8000
优漫卡通HD,http://222.191.164.87:4000/udp/239.49.8.119:8000
江苏教育HD,http://222.191.164.87:4000/udp/239.49.8.122:8000
江苏新闻HD,http://222.191.164.87:4000/udp/239.49.8.120:8000

江苏卫视,http://180.103.208.214:8887/udp/239.49.0.16:8120
江苏城市,http://180.103.208.214:8887/udp/239.49.0.17:8128
江苏综艺,http://180.103.208.214:8887/udp/239.49.0.18:8136
江苏体育休闲,http://180.103.208.214:8887/udp/239.49.0.19:8144
江苏影视,http://180.103.208.214:8887/udp/239.49.0.20:8152
优漫卡通,http://180.103.208.214:8887/udp/239.49.0.21:8160
江苏新闻,http://180.103.208.214:8887/udp/239.49.0.149:9186
江苏国际,http://180.103.208.214:8887/udp/239.49.0.22:8168
江苏教育,http://180.103.208.214:8887/udp/239.49.0.23:8176
财富天下,http://180.103.208.214:8887/udp/239.49.0.166:9322
江苏卫视HD,http://180.103.208.214:8887/udp/239.49.8.16:9602
江苏城市HD,http://180.103.208.214:8887/udp/239.49.8.107:8000
江苏综艺HD,http://180.103.208.214:8887/udp/239.49.8.108:8000
江苏体育休闲HD,http://180.103.208.214:8887/udp/239.49.8.117:8000
江苏影视HD,http://180.103.208.214:8887/udp/239.49.8.118:8000
优漫卡通HD,http://180.103.208.214:8887/udp/239.49.8.119:8000
江苏教育HD,http://180.103.208.214:8887/udp/239.49.8.122:8000
江苏新闻HD,http://180.103.208.214:8887/udp/239.49.8.120:8000

江苏卫视,http://180.125.156.28:5555/udp/239.49.0.16:8120
江苏城市,http://180.125.156.28:5555/udp/239.49.0.17:8128
江苏综艺,http://180.125.156.28:5555/udp/239.49.0.18:8136
江苏体育休闲,http://180.125.156.28:5555/udp/239.49.0.19:8144
江苏影视,http://180.125.156.28:5555/udp/239.49.0.20:8152
优漫卡通,http://180.125.156.28:5555/udp/239.49.0.21:8160
江苏新闻,http://180.125.156.28:5555/udp/239.49.0.149:9186
江苏国际,http://180.125.156.28:5555/udp/239.49.0.22:8168
江苏教育,http://180.125.156.28:5555/udp/239.49.0.23:8176
财富天下,http://180.125.156.28:5555/udp/239.49.0.166:9322
江苏卫视HD,http://180.125.156.28:5555/udp/239.49.8.16:9602
江苏城市HD,http://180.125.156.28:5555/udp/239.49.8.107:8000
江苏综艺HD,http://180.125.156.28:5555/udp/239.49.8.108:8000
江苏体育休闲HD,http://180.125.156.28:5555/udp/239.49.8.117:8000
江苏影视HD,http://180.125.156.28:5555/udp/239.49.8.118:8000
优漫卡通HD,http://180.125.156.28:5555/udp/239.49.8.119:8000
江苏教育HD,http://180.125.156.28:5555/udp/239.49.8.122:8000
江苏新闻HD,http://180.125.156.28:5555/udp/239.49.8.120:8000

