江西电信,#genre#
江西卫视,http://220.176.218.101:8888/udp/239.252.220.63:5140
江西二套,http://220.176.218.101:8888/udp/239.252.220.238:5140
江西三套,http://220.176.218.101:8888/udp/239.252.219.173:5140
江西五套,http://220.176.218.101:8888/udp/239.252.220.102:5140
江西六套,http://220.176.218.101:8888/udp/239.252.219.113:5140
江西七套,http://220.176.218.101:8888/udp/239.252.220.100:5140
江西教育,http://220.176.218.101:8888/udp/239.252.219.115:5140
昌飞航空,http://220.176.218.101:8888/udp/239.252.220.47:5140

江西卫视,http://111.73.21.63:8688/udp/239.252.220.63:5140
江西二套,http://111.73.21.63:8688/udp/239.252.220.238:5140
江西三套,http://111.73.21.63:8688/udp/239.252.219.173:5140
江西五套,http://111.73.21.63:8688/udp/239.252.220.102:5140
江西六套,http://111.73.21.63:8688/udp/239.252.219.113:5140
江西七套,http://111.73.21.63:8688/udp/239.252.220.100:5140
江西教育,http://111.73.21.63:8688/udp/239.252.219.115:5140
昌飞航空,http://111.73.21.63:8688/udp/239.252.220.47:5140

江西卫视,http://218.64.60.38:8888/udp/239.252.220.63:5140
江西二套,http://218.64.60.38:8888/udp/239.252.220.238:5140
江西三套,http://218.64.60.38:8888/udp/239.252.219.173:5140
江西五套,http://218.64.60.38:8888/udp/239.252.220.102:5140
江西六套,http://218.64.60.38:8888/udp/239.252.219.113:5140
江西七套,http://218.64.60.38:8888/udp/239.252.220.100:5140
江西教育,http://218.64.60.38:8888/udp/239.252.219.115:5140
昌飞航空,http://218.64.60.38:8888/udp/239.252.220.47:5140

